Seleziona periodo,Classe di età,  usano Internet,tutti i giorni,  una o più volte alla settimana,  qualche volta al mese,qualche volta all'anno,non usano internet,margine di errore,frequenze relativa (colonna C),frequenza cumulata (colonna C),frequenza relativa (colonna D),frequenza cumulata (colonna D),frequenza relativa (colonna E),frequenza cumulata (colonna E),frequenza relativa (colonna F),frequenza cumulata (colonna F),frequenza relativa (colonna G),frequenza cumulata (colonna G),frequenza relativa (colonna H),frequenza cumulata (colonna H),frequenza relativa (colonna I),frequenza cumulata (colonna I)
2018,6-10 anni,"59,2",21,31,"5,7","1,5","39,9","0,9","0,592","0,592","0,21","0,21","0,31","0,31","0,057","0,057","0,015","0,015","0,399","0,399","0,9","0,9"
2018,11-14 anni,"85,9","62,1","20,5","2,7","0,6","13,5","0,6","0,859","1,451","0,621","0,831","0,205","0,515","0,027","0,084","0,006","0,021","0,135","0,534","0,6","1,5"
2018,15-17 anni,"95,5","84,4","9,7","1,2","0,2","3,9","0,6","0,955","2,406","0,844","1,675","0,097","0,612","0,012","0,096","0,002","0,023","0,039","0,573","0,6","2,1"
2018,18-19 anni,"93,3","85,5","7,5","0,2","0,1","5,8","0,9","0,933","3,339","0,855","2,53","0,075","0,687","0,002","0,098","0,001","0,024","0,058","0,631","0,9",3
2018,20-24 anni,"93,6","85,2","7,6","0,5","0,2","5,4",1,"0,936","4,275","0,852","3,382","0,076","0,763","0,005","0,103","0,002","0,026","0,054","0,685",1,4
2018,25-34 anni,"91,4","79,5","10,6","0,9","0,4","7,9","0,7","0,914","5,189","0,795","4,177","0,106","0,869","0,009","0,112","0,004","0,03","0,079","0,764","0,7","4,7"
2018,35-44 anni,"87,3","71,5",14,"1,4","0,4","12,1","0,6","0,873","6,062","0,715","4,892","0,14","1,009","0,014","0,126","0,004","0,034","0,121","0,885","0,6","5,3"
2018,45-54 anni,"81,7","61,2","17,5",2,1,"17,4","0,9","0,817","6,879","0,612","5,504","0,175","1,184","0,02","0,146","0,01","0,044","0,174","1,059","0,9","6,2"
2018,55-59 anni,"71,2","49,5","17,8","2,9","1,1","28,1","0,7","0,712","7,591","0,495","5,999","0,178","1,362","0,029","0,175","0,011","0,055","0,281","1,34","0,7","6,9"
2018,60-64 anni,"60,7","41,7","15,4","2,5","1,1","38,4","0,9","0,607","8,198","0,417","6,416","0,154","1,516","0,025","0,2","0,011","0,066","0,384","1,724","0,9","7,8"
2018,65-74 anni,"39,3","22,8","13,2","2,1","1,2","59,6","1,1","0,393","8,591","0,228","6,644","0,132","1,648","0,021","0,221","0,012","0,078","0,596","2,32","1,1","8,9"
2018,75 anni e più,"10,9","5,8","3,8","0,8","0,5","87,9","1,2","0,109","8,7","0,058","6,702","0,038","1,686","0,008","0,229","0,005","0,083","0,879","3,199","1,2","10,1"
2019,6-10 anni,"62,5","27,4","28,9","4,5","1,7","36,4","1,1","0,625","0,625","0,274","0,274","0,289","0,289","0,045","0,045","0,017","0,017","0,364","0,364","1,1","1,1"
2019,11-14 anni,90,"68,3","19,6","1,2","0,9","9,7","0,3","0,9","1,525","0,683","0,957","0,196","0,485","0,012","0,057","0,009","0,026","0,097","0,461","0,3","1,4"
2019,15-17 anni,"94,7","83,7","9,5","0,9","0,6",5,"0,3","0,947","2,472","0,837","1,794","0,095","0,58","0,009","0,066","0,006","0,032","0,05","0,511","0,3","1,7"
2019,18-19 anni,"93,2",87,"5,4","0,7","0,1","5,9","0,9","0,932","3,404","0,87","2,664","0,054","0,634","0,007","0,073","0,001","0,033","0,059","0,57","0,9","2,6"
2019,20-24 anni,"94,2",86,7,"0,9","0,3","5,1","0,7","0,942","4,346","0,86","3,524","0,07","0,704","0,009","0,082","0,003","0,036","0,051","0,621","0,7","3,3"
2019,25-34 anni,"90,6","79,9","9,8","0,7","0,3","8,5","0,9","0,906","5,252","0,799","4,323","0,098","0,802","0,007","0,089","0,003","0,039","0,085","0,706","0,9","4,2"
2019,35-44 anni,"87,9",73,13,"1,4","0,5","10,7","1,4","0,879","6,131","0,73","5,053","0,13","0,932","0,014","0,103","0,005","0,044","0,107","0,813","1,4","5,6"
2019,45-54 anni,"83,2","64,3","16,3","1,8","0,9","15,9","0,9","0,832","6,963","0,643","5,696","0,163","1,095","0,018","0,121","0,009","0,053","0,159","0,972","0,9","6,5"
2019,55-59 anni,"76,2","55,9","17,3","2,2","0,8","22,5","1,3","0,762","7,725","0,559","6,255","0,173","1,268","0,022","0,143","0,008","0,061","0,225","1,197","1,3","7,8"
2019,60-64 anni,"65,2","44,8","17,5","1,8","1,1","33,1","1,7","0,652","8,377","0,448","6,703","0,175","1,443","0,018","0,161","0,011","0,072","0,331","1,528","1,7","9,5"
2019,65-74 anni,"44,6","27,6","13,5","2,2","1,2","53,6","1,8","0,446","8,823","0,276","6,979","0,135","1,578","0,022","0,183","0,012","0,084","0,536","2,064","1,8","11,3"
2019,75 anni e più,"13,1","7,1","4,4","1,1","0,5",85,"1,9","0,131","8,954","0,071","7,05","0,044","1,622","0,011","0,194","0,005","0,089","0,85","2,914","1,9","13,2"
