Seleziona periodo,Classe di età,  usano il pc,  tutti i giorni,  una o più volte alla settimana,  qualche volta al mese,  qualche volta all'anno,  non usano il pc,margine di errore,frequenza relativa (colonna C),frequenza cumulata (colonna C),frequenza relativa (colonna D),frequenza cumulata (colonna D),frequenza relativa (colonna E),frequenza cumulata (colonna E),frequenza relativa (colonna F),frequenza cumulata (colonna F),frequenza relativa (colonna G),frequenza cumulata (colonna G),frequenza relativa (colonna H),frequenza cumulata (colonna H),frequenza relativa (colonna I),frequenza cumulata (colonna I)
2018,3-5 anni,"19,9","3,7","10,8","2,9","2,5","79,8","0,3","0,199","0,199","0,037","0,037","0,108","0,108","0,029","0,029","0,025","0,025","0,798","0,798","0,003","0,003"
2018,6-10 anni,"47,2","8,6","27,5",7,"4,1","51,5","1,3","0,472","0,671","0,086","0,123","0,275","0,383","0,07","0,099","0,041","0,066","0,515","1,313","0,013","0,016"
2018,11-14 anni,"74,3","23,7","38,7","9,7","2,1","24,7",1,"0,743","1,414","0,237","0,36","0,387","0,77","0,097","0,196","0,021","0,087","0,247","1,56","0,01","0,026"
2018,15-17 anni,"83,2","32,7",41,"7,4","2,1","15,7","1,1","0,832","2,246","0,327","0,687","0,41","1,18","0,074","0,27","0,021","0,108","0,157","1,717","0,011","0,037"
2018,18-19 anni,"79,3","34,6","36,1","5,8","2,8",20,"0,7","0,793","3,039","0,346","1,033","0,361","1,541","0,058","0,328","0,028","0,136","0,2","1,917","0,007","0,044"
2018,20-24 anni,"80,3","47,2","26,5","4,3","2,4","18,7",1,"0,803","3,842","0,472","1,505","0,265","1,806","0,043","0,371","0,024","0,16","0,187","2,104","0,01","0,054"
2018,25-34 anni,74,"46,2","21,3","4,8","1,7","25,1","0,9","0,74","4,582","0,462","1,967","0,213","2,019","0,048","0,419","0,017","0,177","0,251","2,355","0,009","0,063"
2018,35-44 anni,"69,1","44,4","17,8","4,4","2,4","30,1","0,8","0,691","5,273","0,444","2,411","0,178","2,197","0,044","0,463","0,024","0,201","0,301","2,656","0,008","0,071"
2018,45-54 anni,"66,5","42,9","17,6","3,8","2,3","32,4","1,1","0,665","5,938","0,429","2,84","0,176","2,373","0,038","0,501","0,023","0,224","0,324","2,98","0,011","0,082"
2018,55-59 anni,"56,1","37,1","13,7","3,6","1,8","42,6","1,3","0,561","6,499","0,371","3,211","0,137","2,51","0,036","0,537","0,018","0,242","0,426","3,406","0,013","0,095"
2018,60-64 anni,49,"31,6","13,7","2,4","1,4","49,9","1,1","0,49","6,989","0,316","3,527","0,137","2,647","0,024","0,561","0,014","0,256","0,499","3,905","0,011","0,106"
2018,65-74 anni,"29,6","16,3","9,8","2,1","1,4","68,9","1,5","0,296","7,285","0,163","3,69","0,098","2,745","0,021","0,582","0,014","0,27","0,689","4,594","0,015","0,121"
2018,75 anni e più,"8,9","4,8","2,7","0,7","0,7","89,9","1,2","0,089","7,374","0,048","3,738","0,027","2,772","0,007","0,589","0,007","0,277","0,899","5,493","0,012","0,133"
2019,3-5 anni,"16,3","3,2","8,5",2,"2,6","82,9","0,8","0,163","0,163","0,032","0,032","0,085","0,085","0,02","0,02","0,026","0,026","0,829","0,829","0,008","0,008"
2019,6-10 anni,"44,9","7,2","24,2","9,5","3,9","53,2","1,9","0,449","0,612","0,072","0,104","0,242","0,327","0,095","0,115","0,039","0,065","0,532","1,361","0,019","0,027"
2019,11-14 anni,"76,4","22,2","39,7","10,4","4,1","22,8","0,8","0,764","1,376","0,222","0,326","0,397","0,724","0,104","0,219","0,041","0,106","0,228","1,589","0,008","0,035"
2019,15-17 anni,81,"29,1","39,9",9,3,"18,3","0,7","0,81","2,186","0,291","0,617","0,399","1,123","0,09","0,309","0,03","0,136","0,183","1,772","0,007","0,042"
2019,18-19 anni,"81,8",38,"30,4","9,4",4,"17,6","0,6","0,818","3,004","0,38","0,997","0,304","1,427","0,094","0,403","0,04","0,176","0,176","1,948","0,006","0,048"
2019,20-24 anni,"78,4","45,9","25,4","4,8","2,3","20,5","1,1","0,784","3,788","0,459","1,456","0,254","1,681","0,048","0,451","0,023","0,199","0,205","2,153","0,011","0,059"
2019,25-34 anni,"72,4","45,4","19,3","4,9","2,9","26,6",1,"0,724","4,512","0,454","1,91","0,193","1,874","0,049","0,5","0,029","0,228","0,266","2,419","0,01","0,069"
2019,35-44 anni,"70,8","43,7","19,6",5,"2,5","27,7","1,5","0,708","5,22","0,437","2,347","0,196","2,07","0,05","0,55","0,025","0,253","0,277","2,696","0,015","0,084"
2019,45-54 anni,"65,1","42,1","17,2","3,7",2,34,"0,9","0,651","5,871","0,421","2,768","0,172","2,242","0,037","0,587","0,02","0,273","0,34","3,036","0,009","0,093"
2019,55-59 anni,"58,5","38,6",15,"3,2","1,6","40,3","1,2","0,585","6,456","0,386","3,154","0,15","2,392","0,032","0,619","0,016","0,289","0,403","3,439","0,012","0,105"
2019,60-64 anni,"49,7","31,2","13,9","3,2","1,5","48,6","1,7","0,497","6,953","0,312","3,466","0,139","2,531","0,032","0,651","0,015","0,304","0,486","3,925","0,017","0,122"
2019,65-74 anni,"32,9","18,8","10,4","2,2","1,5","65,3","1,8","0,329","7,282","0,188","3,654","0,104","2,635","0,022","0,673","0,015","0,319","0,653","4,578","0,018","0,14"
2019,75 anni e più,"10,7","5,4","3,7","1,1","0,5","87,7","1,6","0,107","7,389","0,054","3,708","0,037","2,672","0,011","0,684","0,005","0,324","0,877","5,455","0,016","0,156"
